Matchup,Venue,City,Game Time (UTC),Temp (°F),Rain Chance (%),Wind (mph),Forecast
Tampa Bay Rays @ Minnesota Twins,Target Field,Minneapolis,18:10,81,52,10 mph,Chance Showers And Thunderstorms
St. Louis Cardinals @ Chicago Cubs,Wrigley Field,Lincolnwood,18:20,93,0,15 mph,Sunny
Los Angeles Angels @ Toronto Blue Jays,Rogers Centre,,19:07,,,,Dome—No Weather Impact
Boston Red Sox @ Washington Nationals,Nationals Park,Washington,20:05,89,0,7 mph,Mostly Sunny
Cincinnati Reds @ Philadelphia Phillies,Citizens Bank Park,Gloucester City,20:05,84,0,0 mph,Sunny
Kansas City Royals @ Arizona Diamondbacks,Chase Field,,20:10,,,,Dome—No Weather Impact
Baltimore Orioles @ Atlanta Braves,Truist Park,Vinings,20:10,92,0,10 mph,Sunny
New York Yankees @ New York Mets,Citi Field,Harbor Hills,20:10,84,0,10 mph,Mostly Sunny
Milwaukee Brewers @ Miami Marlins,loanDepot park,,20:10,,,,Unknown Stadium—No Data
Detroit Tigers @ Cleveland Guardians,Progressive Field,Cleveland,23:15,90,15,7 mph,Slight Chance Showers And Thunderstorms
Houston Astros @ Los Angeles Dodgers,Dodger Stadium,East Los Angeles,23:15,63,0,0 mph,Patchy Fog
Chicago White Sox @ Colorado Rockies,Coors Field,Mountain View,01:10,81,0,5 mph,Sunny
Texas Rangers @ San Diego Padres,Petco Park,Coronado,01:40,74,0,5 mph,Sunny
San Francisco Giants @ Athletics,Sutter Health Park,West Sacramento,02:05,82,0,3 mph,Sunny
Pittsburgh Pirates @ Seattle Mariners,T-Mobile Park,,02:10,,,,Dome—No Weather Impact
