Matchup,Venue,City,Game Time (UTC),Temp (°F),Rain Chance (%),Wind (mph),Forecast
New York Mets @ Baltimore Orioles,Oriole Park at Camden Yards,Baltimore,22:35,82,1,2 mph,Mostly Sunny
Tampa Bay Rays @ Detroit Tigers,Comerica Park,Hamtramck,22:40,67,0,3 mph,Mostly Sunny
Seattle Mariners @ New York Yankees,Yankee Stadium,Fort Lee,23:05,78,5,5 mph,Patchy Fog
Colorado Rockies @ Boston Red Sox,Fenway Park,Cambridge,23:10,85,6,6 mph,Mostly Sunny
Miami Marlins @ Cincinnati Reds,Great American Ball Park,Newport,23:10,70,4,1 mph,Areas Of Fog
Pittsburgh Pirates @ Kansas City Royals,Kauffman Stadium,Raytown,23:40,72,44,2 mph,Chance Showers And Thunderstorms
Chicago Cubs @ Minnesota Twins,Target Field,Minneapolis,23:40,69,0,5 mph,Mostly Sunny
Toronto Blue Jays @ Chicago White Sox,Rate Field,,23:40,,,,Unknown Stadium—No Data
Los Angeles Dodgers @ Milwaukee Brewers,American Family Field,,23:40,,,,Dome—No Weather Impact
Washington Nationals @ St. Louis Cardinals,Busch Stadium,Brooklyn,23:45,81,8,5 mph,Mostly Sunny
Cleveland Guardians @ Houston Astros,Daikin Park,,00:10,,,,Unknown Stadium—No Data
Texas Rangers @ Los Angeles Angels,Angel Stadium,Orange,01:38,63,0,0 mph,Mostly Cloudy
Arizona Diamondbacks @ San Diego Padres,Petco Park,Coronado,01:40,63,0,5 mph,Cloudy
Philadelphia Phillies @ San Francisco Giants,Oracle Park,Emeryville,01:45,57,15,6 mph,Slight Chance Drizzle
Atlanta Braves @ Athletics,Sutter Health Park,West Sacramento,02:05,59,0,6 mph,Sunny
