Matchup,Venue,City,Game Time (UTC),Temp (°F),Rain Chance (%),Wind (mph),Forecast
Tampa Bay Rays @ Detroit Tigers,Comerica Park,Hamtramck,22:40,79,3,9 mph,Mostly Cloudy
Colorado Rockies @ Boston Red Sox,Fenway Park,Cambridge,23:10,90,10,12 mph,Partly Sunny
Miami Marlins @ Cincinnati Reds,Great American Ball Park,Newport,23:10,85,50,7 mph,Chance Showers And Thunderstorms
Pittsburgh Pirates @ Kansas City Royals,Kauffman Stadium,Raytown,23:40,89,12,3 mph,Mostly Sunny
Toronto Blue Jays @ Chicago White Sox,Rate Field,,23:40,,,,Unknown Stadium—No Data
Los Angeles Dodgers @ Milwaukee Brewers,American Family Field,,23:40,,,,Dome—No Weather Impact
Cleveland Guardians @ Houston Astros,Daikin Park,,00:10,,,,Unknown Stadium—No Data
Texas Rangers @ Los Angeles Angels,Angel Stadium,Orange,01:38,70,0,5 mph,Partly Sunny
Arizona Diamondbacks @ San Diego Padres,Petco Park,Coronado,01:40,68,0,5 mph,Partly Sunny
Philadelphia Phillies @ San Francisco Giants,Oracle Park,Emeryville,01:45,60,1,10 mph,Sunny
